"fecha","tienda_id","producto","precio","unidades"
2025-01-06,"T01","Audífonos",899,22
2025-01-06,"T01","Reloj",2499,8
2025-01-06,"T01","Smartphone A",4999,13
2025-01-06,"T01","Smartphone B",7999,3
2025-01-06,"T01","Tablet",6499,4
2025-01-06,"T02","Audífonos",899,15
2025-01-06,"T02","Reloj",2499,11
2025-01-06,"T02","Smartphone A",4999,12
2025-01-06,"T02","Smartphone B",7999,8
2025-01-06,"T02","Tablet",6499,4
2025-01-06,"T03","Audífonos",899,19
2025-01-06,"T03","Reloj",2499,4
2025-01-06,"T03","Smartphone A",4999,12
2025-01-06,"T03","Smartphone B",7999,7
2025-01-06,"T03","Tablet",6499,3
2025-01-06,"T04","Audífonos",899,21
2025-01-06,"T04","Reloj",2499,11
2025-01-06,"T04","Smartphone A",4999,6
2025-01-06,"T04","Smartphone B",7999,4
2025-01-06,"T04","Tablet",6499,7
2025-01-06,"T05","Audífonos",899,15
2025-01-06,"T05","Reloj",2499,5
2025-01-06,"T05","Smartphone A",4999,16
2025-01-06,"T05","Smartphone B",7999,7
2025-01-06,"T05","Tablet",6499,7
2025-01-06,"T06","Audífonos",899,19
2025-01-06,"T06","Reloj",2499,8
2025-01-06,"T06","Smartphone A",4999,11
2025-01-06,"T06","Smartphone B",7999,6
2025-01-06,"T06","Tablet",6499,4
2025-01-06,"T07","Audífonos",899,28
2025-01-06,"T07","Reloj",2499,7
2025-01-06,"T07","Smartphone A",4999,11
2025-01-06,"T07","Smartphone B",7999,2
2025-01-06,"T07","Tablet",6499,4
2025-01-06,"T08","Audífonos",899,25
2025-01-06,"T08","Reloj",2499,5
2025-01-06,"T08","Smartphone A",4999,12
2025-01-06,"T08","Smartphone B",7999,6
2025-01-06,"T08","Tablet",6499,5
2025-01-06,"T09","Audífonos",899,11
2025-01-06,"T09","Reloj",2499,8
2025-01-06,"T09","Smartphone A",4999,10
2025-01-06,"T09","Smartphone B",7999,5
2025-01-06,"T09","Tablet",6499,1
2025-01-06,"T10","Audífonos",899,13
2025-01-06,"T10","Reloj",2499,5
2025-01-06,"T10","Smartphone A",4999,17
2025-01-06,"T10","Smartphone B",7999,5
2025-01-06,"T10","Tablet",6499,5
2025-01-06,"T11","Audífonos",899,18
2025-01-06,"T11","Reloj",2499,7
2025-01-06,"T11","Smartphone A",4999,12
2025-01-06,"T11","Smartphone B",7999,7
2025-01-06,"T11","Tablet",6499,5
2025-01-06,"T12","Audífonos",899,25
2025-01-06,"T12","Reloj",2499,6
2025-01-06,"T12","Smartphone A",4999,10
2025-01-06,"T12","Smartphone B",7999,NA
2025-01-06,"T12","Tablet",6499,7
2025-01-13,"T01","Audífonos",899,20
2025-01-13,"T01","Reloj",2499,8
2025-01-13,"T01","Smartphone A",4999,9
2025-01-13,"T01","Smartphone B",7999,4
2025-01-13,"T01","Tablet",6499,12
2025-01-13,"T02","Audífonos",899,22
2025-01-13,"T02","Reloj",2499,9
2025-01-13,"T02","Smartphone A",4999,13
2025-01-13,"T02","Smartphone B",7999,8
2025-01-13,"T02","Tablet",6499,5
2025-01-13,"T03","Audífonos",899,13
2025-01-13,"T03","Reloj",2499,8
2025-01-13,"T03","Smartphone A",4999,8
2025-01-13,"T03","Smartphone B",7999,5
2025-01-13,"T03","Tablet",6499,3
2025-01-13,"T04","Audífonos",899,23
2025-01-13,"T04","Reloj",2499,7
2025-01-13,"T04","Smartphone A",4999,10
2025-01-13,"T04","Smartphone B",7999,11
2025-01-13,"T04","Tablet",6499,8
2025-01-13,"T05","Audífonos",899,22
2025-01-13,"T05","Reloj",2499,4
2025-01-13,"T05","Smartphone A",4999,16
2025-01-13,"T05","Smartphone B",7999,7
2025-01-13,"T05","Tablet",6499,4
2025-01-13,"T06","Audífonos",899,17
2025-01-13,"T06","Reloj",2499,12
2025-01-13,"T06","Smartphone A",4999,11
2025-01-13,"T06","Smartphone B",7999,2
2025-01-13,"T06","Tablet",6499,6
2025-01-13,"T07","Audífonos",899,24
2025-01-13,"T07","Reloj",2499,11
2025-01-13,"T07","Smartphone A",4999,17
2025-01-13,"T07","Smartphone B",7999,4
2025-01-13,"T07","Tablet",6499,2
2025-01-13,"T08","Audífonos",899,16
2025-01-13,"T08","Reloj",2499,6
2025-01-13,"T08","Smartphone A",4999,11
2025-01-13,"T08","Smartphone B",7999,4
2025-01-13,"T08","Tablet",6499,4
2025-01-13,"T09","Audífonos",899,14
2025-01-13,"T09","Reloj",2499,9
2025-01-13,"T09","Smartphone A",4999,7
2025-01-13,"T09","Smartphone B",7999,4
2025-01-13,"T09","Tablet",6499,0
2025-01-13,"T10","Audífonos",899,15
2025-01-13,"T10","Reloj",2499,8
2025-01-13,"T10","Smartphone A",4999,9
2025-01-13,"T10","Smartphone B",7999,8
2025-01-13,"T10","Tablet",6499,1
2025-01-13,"T11","Audífonos",899,18
2025-01-13,"T11","Reloj",2499,8
2025-01-13,"T11","Smartphone A",4999,9
2025-01-13,"T11","Smartphone B",7999,6
2025-01-13,"T11","Tablet",6499,5
2025-01-13,"T12","Audífonos",899,28
2025-01-13,"T12","Reloj",2499,3
2025-01-13,"T12","Smartphone A",4999,11
2025-01-13,"T12","Smartphone B",7999,6
2025-01-13,"T12","Tablet",6499,2
2025-01-20,"T01","Audífonos",899,23
2025-01-20,"T01","Reloj",2499,10
2025-01-20,"T01","Smartphone A",4999,7
2025-01-20,"T01","Smartphone B",7999,4
2025-01-20,"T01","Tablet",6499,3
2025-01-20,"T02","Audífonos",899,22
2025-01-20,"T02","Reloj",2499,2
2025-01-20,"T02","Smartphone A",4999,11
2025-01-20,"T02","Smartphone B",7999,5
2025-01-20,"T02","Tablet",6499,6
2025-01-20,"T03","Audífonos",899,21
2025-01-20,"T03","Reloj",2499,14
2025-01-20,"T03","Smartphone A",4999,18
2025-01-20,"T03","Smartphone B",7999,NA
2025-01-20,"T03","Tablet",6499,1
2025-01-20,"T04","Audífonos",899,24
2025-01-20,"T04","Reloj",2499,9
2025-01-20,"T04","Smartphone A",4999,13
2025-01-20,"T04","Smartphone B",7999,12
2025-01-20,"T04","Tablet",6499,4
2025-01-20,"T05","Audífonos",899,22
2025-01-20,"T05","Reloj",2499,6
2025-01-20,"T05","Smartphone A",4999,17
2025-01-20,"T05","Smartphone B",7999,7
2025-01-20,"T05","Tablet",6499,5
2025-01-20,"T06","Audífonos",899,15
2025-01-20,"T06","Reloj",2499,6
2025-01-20,"T06","Smartphone A",4999,11
2025-01-20,"T06","Smartphone B",7999,7
2025-01-20,"T06","Tablet",6499,2
2025-01-20,"T07","Audífonos",899,18
2025-01-20,"T07","Reloj",2499,5
2025-01-20,"T07","Smartphone A",4999,8
2025-01-20,"T07","Smartphone B",7999,4
2025-01-20,"T07","Tablet",6499,3
2025-01-20,"T08","Audífonos",899,21
2025-01-20,"T08","Reloj",2499,9
2025-01-20,"T08","Smartphone A",4999,7
2025-01-20,"T08","Smartphone B",7999,8
2025-01-20,"T08","Tablet",6499,3
2025-01-20,"T09","Audífonos",899,25
2025-01-20,"T09","Reloj",2499,12
2025-01-20,"T09","Smartphone A",4999,10
2025-01-20,"T09","Smartphone B",7999,8
2025-01-20,"T09","Tablet",6499,7
2025-01-20,"T10","Audífonos",899,17
2025-01-20,"T10","Reloj",2499,8
